EmployeeID,Age,Department,Salary,YearsAtCompany,JobSatisfaction,Attrition
1,31,Sales,87517,2,2,No
2,44,Sales,84486,5,3,Yes
3,53,IT,69257,4,1,No
4,39,Sales,61736,3,4,No
5,35,IT,82207,7,1,Yes
6,32,Sales,53281,6,1,Yes
7,53,HR,41435,7,1,Yes
8,45,Sales,73339,5,2,Yes
9,31,Sales,75150,6,5,No
10,50,IT,65821,5,2,No
11,43,Sales,66660,7,2,Yes
12,47,Sales,45084,2,1,Yes
13,35,IT,56661,5,2,No
14,35,HR,53507,6,1,No
15,48,HR,47059,6,5,No
16,45,IT,58271,5,4,No
17,28,IT,85539,7,1,Yes
18,32,IT,90417,8,5,No
19,48,IT,47491,7,4,No
20,27,IT,87295,5,3,Yes
21,46,HR,90192,1,1,No
22,45,HR,54859,5,1,No
23,26,IT,98261,2,3,Yes
24,48,Sales,48073,5,3,Yes
25,36,IT,49077,5,1,Yes
26,54,Sales,91904,2,3,No
27,30,IT,97365,5,2,No
28,26,IT,60953,4,4,Yes
29,52,HR,51383,1,4,Yes
30,45,Sales,89146,3,4,No
31,25,Sales,95505,1,2,Yes
32,36,HR,42353,5,3,Yes
33,50,HR,63821,4,5,Yes
34,46,HR,77567,7,3,No
35,53,HR,89838,5,1,No
36,36,Sales,64860,4,4,No
37,49,Sales,61195,2,3,No
38,41,IT,51939,4,5,No
39,51,IT,65338,2,1,No
40,51,HR,61730,8,2,Yes
41,34,HR,61427,3,2,No
42,52,HR,75196,9,5,No
43,52,IT,67083,4,1,Yes
44,40,IT,61510,6,4,No
45,39,IT,97372,5,3,No
46,54,IT,98250,1,1,Yes
47,54,IT,84064,9,2,Yes
48,39,IT,47813,1,5,Yes
49,54,IT,71598,8,5,No
50,43,HR,87182,9,3,Yes
51,36,HR,67570,9,5,No
52,47,HR,67082,1,5,No
53,44,HR,69241,2,1,No
54,49,IT,70678,1,4,No
55,27,Sales,84569,2,3,Yes
56,29,IT,51745,8,1,Yes
57,43,Sales,66029,5,4,No
58,31,HR,53025,7,1,Yes
59,45,IT,76124,2,1,No
60,33,HR,97859,8,5,No
61,31,IT,54288,6,4,No
62,42,HR,63650,8,3,Yes
63,28,Sales,46540,1,3,No
64,49,Sales,72232,1,4,No
65,52,Sales,56422,7,5,Yes
66,38,IT,43342,8,2,Yes
67,42,Sales,81846,3,1,Yes
68,50,IT,75612,5,5,Yes
69,33,Sales,50396,1,4,No
70,50,Sales,57482,7,1,Yes
71,45,IT,63411,5,3,No
72,26,IT,90975,8,2,Yes
73,44,Sales,86766,8,3,Yes
74,52,IT,53261,9,4,Yes
75,39,Sales,92307,7,1,Yes
76,52,IT,43093,1,4,Yes
77,31,HR,51722,3,1,Yes
78,36,HR,62042,8,5,No
79,53,HR,92930,3,2,Yes
80,32,HR,92048,8,5,Yes
81,39,HR,84413,1,5,Yes
82,27,Sales,87851,5,4,Yes
83,38,HR,68087,4,2,No
84,41,HR,72347,5,1,Yes
85,28,HR,73756,8,1,Yes
86,42,HR,93268,4,3,Yes
87,32,IT,79214,4,1,Yes
88,28,Sales,56335,3,4,No
89,26,HR,68602,7,5,Yes
90,54,HR,93331,3,5,No
91,30,HR,88901,3,5,Yes
92,46,Sales,74450,5,2,No
93,34,IT,72196,5,1,No
94,28,Sales,45626,6,4,Yes
95,46,IT,47424,8,2,Yes
96,53,HR,52857,6,3,No
97,42,HR,84923,1,4,No
98,50,Sales,90085,8,4,Yes
99,36,Sales,59982,8,4,No
100,26,IT,51425,9,5,No
101,34,IT,41980,9,4,No
102,54,Sales,88290,2,1,Yes
103,28,IT,66431,2,4,No
104,38,Sales,59440,3,5,No
105,40,IT,81752,1,4,No
106,39,Sales,57175,4,3,Yes
107,32,Sales,88651,4,3,Yes
108,38,Sales,66385,9,5,No
109,47,IT,78158,9,1,Yes
110,52,IT,63019,9,1,No
111,49,IT,58639,7,2,Yes
112,54,Sales,59994,2,5,Yes
113,32,IT,74375,5,4,No
114,45,IT,61563,4,5,Yes
115,40,Sales,79341,8,2,Yes
116,37,HR,90136,2,5,Yes
117,42,Sales,45776,6,5,No
118,39,IT,76444,5,2,Yes
119,45,Sales,43380,2,1,Yes
120,48,HR,48711,1,4,No
121,50,Sales,48782,8,2,Yes
122,49,IT,57434,2,3,Yes
123,52,HR,86765,7,1,Yes
124,52,IT,60017,9,3,Yes
125,52,HR,70707,9,1,Yes
126,37,HR,79110,8,4,No
127,33,Sales,57343,9,4,No
128,53,Sales,78827,2,5,Yes
